name	'Hakuna matata'

xs	ys	zs
20.0	10	8
20.217391304347824	15	8
20.434782608695652	10	8
20.652173913043477	15	8
20.869565217391305	10	8
21.08695652173913	15	8
21.304347826086957	10	8
21.52173913043478	15	8
21.73913043478261	10	8
21.956521739130434	15	8
22.17391304347826	10	8
22.391304347826086	15	8
22.608695652173914	10	8
22.82608695652174	15	8
23.043478260869566	10	8
23.26086956521739	15	8
23.47826086956522	10	8
23.695652173913043	15	8
23.91304347826087	10	8
24.130434782608695	15	8
24.347826086956523	10	8
24.565217391304348	15	8
24.782608695652172	10	8
25.0	15	8
